feature,importance
fg3a_avg_10,0.084149875
fg3a_med_10,0.0718907
fg3a_ewm,0.03160698
fg3m_avg_10,0.015301827
fg3a_avg_5,0.01279811
blk_med_5,0.009644458
exp_poss,0.009439687
pra_combined_avg_10,0.008829287
fta_med_5,0.008783879
pra_combined_med_5,0.00862942
min_med_3,0.0079040015
fg3a_avg_3,0.0076438836
pra_combined_med_3,0.0072895274
ast_med_10,0.0070971986
min_med_10,0.006965425
pra_combined_avg_3,0.0069316057
fg3m_ewm,0.0068230983
pra_combined_med_10,0.0067280373
stl_log_avg_10,0.0065676006
blk_consistency,0.0065649273
pts_streak,0.0065409895
fta_avg_5,0.0065080556
pra_combined_avg_5,0.0065046106
ftm_med_10,0.00643892
pa_combined_med_5,0.0063941483
fta_consistency,0.006387292
pa_combined_avg_5,0.0063603027
fg3m_med_10,0.0062747695
fga_med_5,0.0061779395
fg3a_med_3,0.0061023273
ast_med_5,0.006087795
pr_combined_consistency,0.0060849185
ftm_ewm,0.005980277
min_avg_5,0.005966179
pa_combined_med_10,0.0059641064
ftm_streak,0.0059475168
stl_log_streak,0.0059280787
pra_combined_streak,0.0059224623
ftm_avg_5,0.0059013525
fgm_med_3,0.0058930283
reb_consistency,0.0058896234
is_home,0.0058732578
stl_log_med_5,0.0058725886
fga_consistency,0.0058719167
fga_ewm,0.0058550094
blk_log_avg_5,0.0058370125
fgm_streak,0.005827896
fgm_consistency,0.005822413
min_avg_3,0.00581814
pr_combined_med_10,0.0058141183
tov_avg_10,0.00579682
pa_combined_avg_3,0.0057819583
fga_med_10,0.005773886
pa_combined_med_3,0.005765571
stl_med_10,0.005745589
ftm_med_3,0.005732095
fg3a_consistency,0.005717532
fgm_ewm,0.0056404173
reb_streak,0.0056374683
reb_med_10,0.005583892
stl_avg_10,0.005535797
min_ewm,0.0055338684
blk_log_avg_3,0.0054739206
ftm_consistency,0.0054496764
ast_consistency,0.005439169
ast_avg_10,0.0054162317
min_avg_10,0.0053935107
fga_streak,0.00538921
pts_ewm,0.005376329
stl_log_consistency,0.0053396365
fta_ewm,0.0053198375
pa_combined_avg_10,0.0052924016
blk_log_streak,0.005272291
pr_combined_streak,0.005257285
stl_log_ewm,0.005256993
tov_ewm,0.005189176
min_consistency,0.0051861308
pr_combined_avg_5,0.0051443577
tov_consistency,0.0051210155
fta_streak,0.005093486
tov_med_5,0.005074324
reb_avg_10,0.0050466033
ftm_avg_10,0.005044455
fga_avg_3,0.0050294907
fta_med_3,0.005014456
pra_combined_consistency,0.004970552
blk_log_consistency,0.004923515
stl_consistency,0.004917131
pts_avg_3,0.0048596077
stl_ewm,0.0048497985
pts_consistency,0.0048471205
fg3m_avg_3,0.0048410003
stl_log_avg_5,0.004810571
pa_combined_consistency,0.0048034303
fta_avg_10,0.00479391
ast_ewm,0.0047582285
tov_avg_5,0.004725343
fga_avg_10,0.004719016
pr_combined_avg_10,0.0047159274
blk_avg_10,0.004697202
blk_avg_5,0.0046641245
pts_avg_10,0.0046595926
ast_avg_5,0.004651089
pr_combined_avg_3,0.0045998516
min_med_5,0.0045944755
fga_med_3,0.0045937584
stl_log_avg_3,0.0045791487
pts_med_5,0.004570095
pa_combined_streak,0.0045685186
fg3a_streak,0.004553897
min_streak,0.004543832
blk_streak,0.0045003444
fga_avg_5,0.004498564
fgm_avg_10,0.0044415975
fta_avg_3,0.004430308
reb_avg_3,0.004425362
reb_med_5,0.0044154343
pts_avg_5,0.0044075847
blk_log_avg_10,0.0043956186
ftm_avg_3,0.004377102
ast_streak,0.004282926
tov_streak,0.004274419
reb_med_3,0.004257179
fg3m_consistency,0.004197689
tov_avg_3,0.0041313833
stl_med_3,0.004079408
fg3m_med_3,0.0040482404
fgm_avg_5,0.004041452
stl_streak,0.004023496
stl_log_med_3,0.003987753
pr_combined_med_3,0.0039857826
blk_log_ewm,0.0039628553
fg3m_streak,0.0039308337
days_rest,0.003882666
tov_med_10,0.0038167736
fg3m_avg_5,0.0038099254
stl_med_5,0.003726111
stl_avg_5,0.0036911105
fg3a_med_5,0.003647218
blk_ewm,0.0036378703
fgm_avg_3,0.0035645429
blk_avg_3,0.0035342225
ftm_med_5,0.0035159069
reb_avg_5,0.0034876317
stl_avg_3,0.0034542251
reb_ewm,0.0032339
fgm_med_5,0.0032025508
tov_med_3,0.0030256587
pr_combined_med_5,0.0029433707
fta_med_10,0.0029269452
fg3m_med_5,0.0028812622
ast_avg_3,0.0028717313
pts_med_3,0.0028662318
ast_med_3,0.0027048842
pts_med_10,0.0024865465
blk_med_10,0.0023954122
fgm_med_10,0.0023351735
stl_log_med_10,0.0021389641
blk_log_med_5,0.0014184775
four_in_six,0.0005931974
blk_med_3,0.0
blk_log_med_3,0.0
b2b,0.0
blk_log_med_10,0.0
