feature,importance
fg3a_avg_5,0.016634297
fga_ewm,0.015330144
pr_combined_avg_10,0.014901697
blk_log_ewm,0.013915671
fg3a_avg_3,0.012689075
pra_combined_med_10,0.012253156
fg3m_med_3,0.011022397
pa_combined_med_5,0.010388513
reb_avg_10,0.010323377
pr_combined_med_10,0.010168617
fg3a_ewm,0.010057197
fga_avg_10,0.009865217
pts_ewm,0.009822635
reb_ewm,0.009742641
fg3a_med_5,0.009271661
tov_ewm,0.009203669
pr_combined_consistency,0.009200716
pra_combined_avg_5,0.008962932
fgm_med_3,0.00879594
fta_ewm,0.008690056
ftm_streak,0.008656011
blk_med_10,0.008622163
min_med_3,0.008507254
is_home,0.0083165495
pa_combined_med_3,0.00826811
pr_combined_avg_3,0.008183203
min_consistency,0.008081637
blk_ewm,0.007961924
ftm_ewm,0.007852617
fg3m_avg_10,0.007825502
ast_streak,0.007798145
ast_avg_10,0.0077799405
blk_log_avg_5,0.0072994074
fgm_ewm,0.0070991935
fg3m_ewm,0.007068145
stl_consistency,0.0070490777
reb_med_10,0.007012491
fta_med_3,0.006952319
tov_consistency,0.0069297864
ast_ewm,0.006905055
reb_consistency,0.0068311696
fg3a_avg_10,0.0068182996
pts_streak,0.0068009775
ftm_consistency,0.006758076
fta_med_5,0.0067197783
stl_log_avg_5,0.006702453
pr_combined_streak,0.0066676643
pr_combined_avg_5,0.0066421083
pa_combined_avg_10,0.006628322
tov_streak,0.0066136424
pra_combined_med_5,0.006581106
stl_med_3,0.0065566087
ftm_med_5,0.0065537444
stl_med_10,0.00653348
reb_streak,0.006518488
tov_avg_5,0.0064732665
pts_consistency,0.0064723915
fta_consistency,0.0064212168
blk_log_consistency,0.0063947313
fgm_consistency,0.006351519
fga_med_3,0.006302331
fgm_med_5,0.0062333103
fg3m_streak,0.0062260577
pa_combined_streak,0.0062132413
fg3a_med_10,0.006153844
ftm_avg_3,0.0061395876
pts_med_3,0.0061275186
pra_combined_streak,0.0061232117
pra_combined_avg_3,0.0061188494
stl_streak,0.0060699005
fta_avg_3,0.0060560154
pts_avg_5,0.0060491436
stl_log_avg_10,0.005996886
ast_consistency,0.005935004
reb_med_5,0.005915646
stl_log_ewm,0.0059132827
fgm_streak,0.00583445
pa_combined_consistency,0.0058305594
pa_combined_avg_5,0.005827437
pts_med_5,0.005815771
fgm_med_10,0.0057832776
blk_streak,0.005768413
pr_combined_med_3,0.0056925155
fg3m_avg_5,0.005651757
fg3m_consistency,0.0056309886
reb_med_3,0.0055986904
pa_combined_med_10,0.005587579
blk_log_avg_3,0.0055836225
tov_med_10,0.005573667
stl_log_consistency,0.005571782
tov_med_5,0.0055334857
blk_consistency,0.0054738442
min_ewm,0.0054508015
stl_log_avg_3,0.005434468
blk_log_streak,0.0054211244
fga_consistency,0.005411574
fg3m_med_10,0.0054042297
min_streak,0.005404033
min_avg_3,0.0053859437
tov_avg_10,0.0053704637
stl_log_streak,0.0053154435
pra_combined_avg_10,0.0052992892
fga_streak,0.005287214
pra_combined_consistency,0.005218244
ast_avg_5,0.005196432
reb_avg_3,0.0051153027
exp_poss,0.0051124264
ftm_avg_5,0.00503147
fg3m_avg_3,0.005029208
min_avg_5,0.0050290693
blk_med_3,0.005015198
tov_med_3,0.0049789683
fg3m_med_5,0.0049771103
stl_avg_10,0.0049664504
ftm_avg_10,0.0049418746
blk_avg_10,0.004920235
stl_log_med_10,0.0048604906
pra_combined_med_3,0.004849016
pr_combined_med_5,0.0048147757
fgm_avg_10,0.0048100124
ftm_med_3,0.004737409
fg3a_streak,0.0047269985
fta_avg_10,0.0046981797
fg3a_consistency,0.004644827
blk_log_avg_10,0.0046187155
fgm_avg_3,0.004600096
ast_med_10,0.0045852773
stl_med_5,0.0045185834
stl_avg_5,0.004515557
ast_avg_3,0.0045022927
fta_streak,0.0044875834
ftm_med_10,0.0044262744
min_avg_10,0.0043885075
fga_med_10,0.0043797065
days_rest,0.0043519656
fga_med_5,0.0043286597
fta_med_10,0.0042232284
stl_log_med_5,0.004093346
pts_avg_10,0.004093255
fgm_avg_5,0.0040730378
fga_avg_5,0.0040721125
pts_med_10,0.004068706
tov_avg_3,0.004066295
stl_ewm,0.0040458576
pa_combined_avg_3,0.0039970838
fg3a_med_3,0.0039469316
reb_avg_5,0.0039036619
fta_avg_5,0.0037807801
stl_log_med_3,0.003758647
blk_med_5,0.0037385635
blk_log_med_10,0.003714576
fga_avg_3,0.0036713337
blk_log_med_3,0.0035088907
blk_log_med_5,0.0032515218
min_med_5,0.0029527782
blk_avg_3,0.002927698
stl_avg_3,0.0026374871
pts_avg_3,0.002470647
blk_avg_5,0.002466599
ast_med_5,0.0021033676
ast_med_3,0.0019572177
min_med_10,0.00013599981
b2b,0.0
four_in_six,0.0
