feature,importance
pa_combined_med_10,0.012788746
min_med_10,0.011980648
pra_combined_med_10,0.011400829
blk_log_ewm,0.011281169
pr_combined_med_3,0.0111982385
fg3a_avg_10,0.010790774
pts_ewm,0.010761756
fg3a_avg_3,0.010559841
fg3a_med_10,0.010235221
fg3a_med_5,0.010012609
fta_streak,0.009921404
blk_ewm,0.009871038
fgm_avg_3,0.009742972
fg3m_avg_10,0.00972149
fgm_ewm,0.009549893
fta_med_10,0.009081588
pr_combined_avg_10,0.009039947
is_home,0.008677677
reb_ewm,0.0085843075
blk_streak,0.008386984
min_ewm,0.008360134
pr_combined_avg_3,0.008251602
ftm_consistency,0.008175123
stl_log_ewm,0.008136426
fga_ewm,0.008119715
reb_med_3,0.008032635
ast_ewm,0.007931476
stl_log_streak,0.007876783
ftm_streak,0.007752889
pr_combined_med_5,0.0076127117
fg3m_ewm,0.0075954264
tov_ewm,0.007577545
fta_med_5,0.0075774416
reb_streak,0.0075043663
fg3m_avg_5,0.0074436343
fgm_streak,0.007432221
stl_log_avg_10,0.0073938947
pa_combined_med_5,0.007369819
fg3a_ewm,0.007358216
pts_streak,0.0073387325
ftm_med_10,0.007336234
stl_log_med_3,0.0073210327
stl_log_consistency,0.0073065646
ast_streak,0.007294827
pra_combined_streak,0.007185227
fta_consistency,0.0071701533
pra_combined_avg_5,0.0071554375
fg3m_med_3,0.0070577203
min_streak,0.0070271404
fg3a_consistency,0.007020502
fta_ewm,0.0070002405
pr_combined_consistency,0.0069340486
pra_combined_avg_10,0.0069319527
fga_consistency,0.0069040153
pra_combined_avg_3,0.006898371
pa_combined_streak,0.00687609
fta_med_3,0.0067898864
fg3m_streak,0.0067114616
blk_log_streak,0.0067071756
reb_med_10,0.0066877967
ast_med_10,0.006642505
stl_log_avg_3,0.0065680924
reb_med_5,0.0065231416
stl_streak,0.006474312
pts_med_5,0.00646201
fg3m_med_5,0.0064343894
tov_med_3,0.006431557
ast_med_3,0.006410134
pr_combined_avg_5,0.0063830116
fgm_consistency,0.006375849
pts_consistency,0.0063551366
fgm_avg_10,0.006338993
pra_combined_med_3,0.0062964237
fg3a_streak,0.0062939455
fga_streak,0.0062170546
pa_combined_avg_5,0.006216505
fgm_med_3,0.0061847023
blk_avg_10,0.006184285
fga_avg_10,0.006182205
ast_consistency,0.0061795637
ast_med_5,0.006148966
stl_log_med_10,0.0060755354
fgm_avg_5,0.006054653
tov_streak,0.0060359323
fg3a_med_3,0.0060340334
fgm_med_10,0.0060114027
fg3a_avg_5,0.0059878686
tov_med_5,0.0059382715
fga_med_3,0.005936582
fga_med_5,0.005887303
reb_consistency,0.005857412
ast_avg_10,0.0058349255
ftm_avg_3,0.00581935
fga_avg_5,0.005816733
stl_ewm,0.0057434514
pa_combined_avg_3,0.005707554
min_avg_5,0.0056674825
tov_avg_5,0.005665711
pts_avg_5,0.005615517
min_med_3,0.005611965
reb_avg_10,0.0055939727
pra_combined_consistency,0.005556016
ftm_med_5,0.0055411933
pa_combined_consistency,0.0055161314
reb_avg_5,0.005492528
fg3m_consistency,0.0054759094
min_avg_10,0.005396899
pr_combined_streak,0.005371393
min_consistency,0.005281551
fga_med_10,0.005274384
fg3m_med_10,0.0052077593
ftm_avg_10,0.005181121
min_med_5,0.0051542185
blk_consistency,0.005105224
pa_combined_med_3,0.0050756936
stl_avg_10,0.00506538
fg3m_avg_3,0.0049452265
blk_avg_5,0.0048860754
ast_avg_3,0.004809028
blk_log_avg_5,0.00476501
fta_avg_3,0.0047399406
pra_combined_med_5,0.0047341688
tov_avg_10,0.00469587
blk_log_med_10,0.0046841376
blk_log_avg_3,0.004614441
stl_consistency,0.0045617376
blk_log_avg_10,0.0044503324
fta_avg_10,0.0043863547
ftm_avg_5,0.004365294
days_rest,0.0043497435
pts_avg_10,0.0043162387
pts_med_3,0.0043059313
ftm_ewm,0.004303355
tov_med_10,0.004284871
ftm_med_3,0.004206395
stl_med_3,0.0041561276
blk_log_consistency,0.004151403
stl_med_10,0.004142035
tov_avg_3,0.004108473
stl_log_avg_5,0.004095793
fta_avg_5,0.004062771
pts_med_10,0.004007718
blk_med_5,0.003984529
reb_avg_3,0.0039674374
stl_avg_5,0.0039497605
pa_combined_avg_10,0.0039192284
stl_log_med_5,0.0038949312
tov_consistency,0.003761446
exp_poss,0.003547651
fga_avg_3,0.0035182587
stl_avg_3,0.0034640776
blk_med_10,0.00340278
blk_avg_3,0.003393542
min_avg_3,0.0032497116
ast_avg_5,0.003234643
fgm_med_5,0.0024719543
pts_avg_3,0.0023800507
pr_combined_med_10,0.001868319
stl_med_5,0.0016127122
blk_med_3,0.0006128907
blk_log_med_5,0.0
blk_log_med_3,0.0
b2b,0.0
four_in_six,0.0
