feature,importance
pr_combined_avg_10,0.014761912
fga_ewm,0.014712054
pra_combined_med_10,0.013385745
fg3a_med_10,0.012470877
pa_combined_med_10,0.012256139
reb_ewm,0.012063808
fg3a_avg_10,0.011048886
blk_log_med_10,0.010393187
blk_ewm,0.010158259
blk_log_ewm,0.010148562
reb_med_3,0.009746601
fta_avg_10,0.009457286
fg3a_med_5,0.009314753
pra_combined_med_5,0.0091183605
pr_combined_med_5,0.009072924
pr_combined_avg_3,0.008838099
pr_combined_med_3,0.008647366
pr_combined_consistency,0.008587571
pa_combined_avg_10,0.008559735
pra_combined_avg_5,0.00849579
ftm_streak,0.008409611
tov_med_5,0.008397042
fta_med_5,0.008317703
blk_log_avg_10,0.008307756
pra_combined_streak,0.008223038
fga_med_5,0.008179526
stl_log_consistency,0.008143305
ast_med_10,0.007962582
pr_combined_avg_5,0.00787651
tov_streak,0.0078751845
pra_combined_avg_3,0.007858967
min_med_3,0.007854895
ftm_med_3,0.007829968
min_ewm,0.00781544
fgm_avg_3,0.007783623
pa_combined_avg_3,0.007739539
ast_streak,0.007738387
stl_med_3,0.007700857
pa_combined_avg_5,0.007675681
ftm_ewm,0.0076738135
blk_streak,0.0076658316
fga_avg_10,0.007589933
pts_consistency,0.0073600216
fgm_med_10,0.0073393844
blk_log_avg_3,0.0073338994
ast_med_5,0.0072663166
tov_ewm,0.007247574
reb_med_10,0.007243045
blk_log_streak,0.007219429
ftm_avg_10,0.007135701
fg3m_consistency,0.007132208
pra_combined_med_3,0.007100224
ast_consistency,0.007058476
stl_log_avg_10,0.007056048
days_rest,0.0069315345
reb_avg_3,0.006795815
stl_consistency,0.0067670997
pts_streak,0.0066942084
fg3a_streak,0.006628733
pts_ewm,0.006625187
pra_combined_avg_10,0.0066042193
blk_med_10,0.006596619
tov_med_10,0.006588353
fta_consistency,0.0065720044
pts_med_5,0.006497514
pts_avg_5,0.006477951
fg3a_avg_3,0.0063824994
stl_log_avg_3,0.006299755
ftm_consistency,0.0062697837
fg3m_avg_5,0.0061923736
pa_combined_med_3,0.006123584
stl_log_med_10,0.0061204615
fga_streak,0.0061194277
min_streak,0.006103252
fg3a_consistency,0.006100324
pa_combined_consistency,0.00609776
pr_combined_med_10,0.006082449
fga_consistency,0.0060699834
tov_avg_5,0.0060669244
fg3a_med_3,0.0060156
blk_log_consistency,0.005990173
stl_log_streak,0.00595258
fg3m_avg_10,0.005924936
min_med_5,0.0059192237
pra_combined_consistency,0.0058933683
fta_streak,0.0058539296
reb_consistency,0.0058446093
fg3m_avg_3,0.005784226
reb_avg_10,0.0057678656
pts_avg_10,0.005742475
fgm_streak,0.0057011703
pa_combined_streak,0.0056937956
stl_avg_10,0.005647626
ast_avg_10,0.0056473007
fgm_consistency,0.0056156064
tov_avg_3,0.005596713
fg3m_ewm,0.0055559482
stl_ewm,0.005541768
pts_med_10,0.0055410936
stl_med_10,0.0055283546
ftm_avg_3,0.005516946
pts_med_3,0.0054582716
fg3m_streak,0.005402164
tov_avg_10,0.0053485027
min_avg_10,0.005291747
fg3a_ewm,0.0052914843
blk_consistency,0.0052903937
is_home,0.0052766716
stl_streak,0.005243808
stl_log_avg_5,0.0052434555
pr_combined_streak,0.005189384
ftm_avg_5,0.0051319874
tov_consistency,0.0050787544
reb_streak,0.0050589596
fgm_med_3,0.0050394693
fga_med_10,0.0049486067
blk_med_3,0.004924811
fta_ewm,0.0048699956
fta_med_10,0.0047902972
ftm_med_10,0.0047403057
ast_avg_5,0.0046985485
fg3m_med_5,0.004664204
reb_med_5,0.004654035
stl_log_ewm,0.0046019396
stl_avg_3,0.004590385
fg3a_avg_5,0.004407344
min_consistency,0.004314244
reb_avg_5,0.0043138736
min_avg_3,0.00431241
ast_ewm,0.004307579
ftm_med_5,0.004307451
fta_avg_3,0.0042985287
fga_avg_5,0.0042944504
fgm_med_5,0.004287526
fgm_avg_5,0.004181123
min_med_10,0.0041766814
ast_avg_3,0.004005361
pts_avg_3,0.003995553
fg3m_med_10,0.0039062088
ast_med_3,0.0038197266
blk_avg_10,0.0037232246
fta_avg_5,0.0037056112
fgm_ewm,0.003640107
min_avg_5,0.0035973357
blk_avg_3,0.0035048889
pa_combined_med_5,0.0035018802
blk_log_avg_5,0.003470083
fga_med_3,0.0033355115
blk_avg_5,0.0033329467
fg3m_med_3,0.0033030084
fga_avg_3,0.0032428792
stl_med_5,0.0032333517
fgm_avg_10,0.0032097006
stl_log_med_5,0.0029322342
stl_avg_5,0.002764706
fta_med_3,0.0025935194
tov_med_3,0.0021643124
blk_med_5,0.0015627469
exp_poss,0.0008969813
blk_log_med_5,9.616472e-05
stl_log_med_3,0.0
blk_log_med_3,0.0
b2b,0.0
four_in_six,0.0
