feature,importance
pr_combined_avg_10,0.22672264
pra_combined_avg_10,0.14429374
fgm_ewm,0.039399393
pr_combined_avg_5,0.028770613
pra_combined_avg_5,0.027163848
pr_combined_med_10,0.021206344
pr_combined_med_5,0.016740946
fga_ewm,0.012693529
pra_combined_med_10,0.011358932
pr_combined_avg_3,0.0103846975
blk_med_10,0.0074119056
fta_ewm,0.0069600246
pra_combined_avg_3,0.006854826
pr_combined_med_3,0.006694312
min_med_3,0.0063716527
min_avg_3,0.0062939553
fga_avg_3,0.00584711
fga_avg_10,0.0057566026
reb_ewm,0.0049647843
ftm_ewm,0.0045004133
fga_avg_5,0.004206078
fta_avg_5,0.0042047794
pts_ewm,0.0041755727
fg3a_ewm,0.0037185478
fta_med_5,0.0037060333
blk_log_avg_10,0.003645088
ast_ewm,0.003629713
blk_consistency,0.0036150375
fgm_avg_10,0.003601695
ftm_avg_10,0.003597409
fgm_streak,0.0035865603
stl_log_ewm,0.003574271
min_med_10,0.0035610849
fga_med_3,0.0035509318
pra_combined_streak,0.0035205758
blk_log_ewm,0.0034949624
fta_streak,0.0034936157
tov_med_3,0.003464372
ast_med_10,0.003434481
stl_log_streak,0.0034326352
fg3m_avg_10,0.003405927
min_avg_5,0.0034016306
stl_avg_5,0.0033923476
stl_log_consistency,0.0033387288
blk_log_avg_3,0.0033316538
min_med_5,0.003329504
pra_combined_med_5,0.0033201522
fg3a_med_3,0.0033041702
fgm_avg_5,0.0032892406
blk_ewm,0.0032798294
stl_log_avg_5,0.0032683625
reb_med_10,0.0032668666
pra_combined_consistency,0.0032654584
pa_combined_avg_10,0.0032587126
fta_med_10,0.0032207223
stl_log_avg_10,0.0032194215
fga_med_5,0.003218838
fg3a_avg_10,0.0032171211
reb_med_5,0.0032036086
exp_poss,0.0031934103
tov_med_5,0.0031924194
blk_avg_10,0.0031710782
fg3a_med_10,0.0031587433
tov_avg_5,0.0031542329
reb_avg_10,0.003126113
fta_consistency,0.0031144766
min_ewm,0.0031126454
pa_combined_med_10,0.0031108411
fg3m_avg_5,0.0031057552
blk_log_avg_5,0.0030817513
pts_med_3,0.0030785557
pts_avg_10,0.0030730308
days_rest,0.0030659183
tov_consistency,0.0030646392
fta_avg_10,0.003060621
blk_log_streak,0.0030350531
ftm_consistency,0.0030288359
b2b,0.0030240405
fgm_med_5,0.003016173
fg3a_med_5,0.003010361
min_consistency,0.0030042473
tov_ewm,0.0029945138
fg3a_avg_3,0.0029856772
fg3m_med_10,0.0029844113
fg3m_ewm,0.002975342
pa_combined_avg_5,0.0029454222
pr_combined_streak,0.002935195
fta_avg_3,0.0029137032
pts_avg_5,0.0029117577
pa_combined_streak,0.0029060345
fgm_med_10,0.0028850692
ftm_med_10,0.0028696605
blk_streak,0.0028665347
ftm_avg_5,0.002822445
reb_avg_5,0.0028220087
pra_combined_med_3,0.0028023394
stl_avg_10,0.002790364
blk_log_consistency,0.0027883549
reb_consistency,0.0027546338
min_avg_10,0.0027501252
pts_med_10,0.0027429566
pr_combined_consistency,0.0027415806
fga_med_10,0.0027314466
fga_streak,0.002718488
blk_med_3,0.0027041999
stl_med_5,0.002698176
pa_combined_med_3,0.0026979728
pa_combined_med_5,0.002695329
tov_streak,0.002684397
fg3m_consistency,0.0026616487
blk_log_med_3,0.0026455214
fg3a_consistency,0.0026336361
fg3m_streak,0.002630624
fg3a_avg_5,0.0026291434
min_streak,0.0026115691
stl_streak,0.002611096
reb_streak,0.002597868
pa_combined_avg_3,0.0025754792
fga_consistency,0.0025533554
fg3a_streak,0.0025522835
fg3m_med_5,0.002536586
blk_log_med_5,0.0025257492
stl_ewm,0.0025219254
fgm_med_3,0.0025187044
is_home,0.0025165097
pts_streak,0.0025006921
stl_consistency,0.0024950912
tov_med_10,0.0024667494
stl_log_avg_3,0.002446357
ast_avg_3,0.0023969505
pts_consistency,0.002394076
ftm_avg_3,0.002370572
stl_med_3,0.0023688374
four_in_six,0.0023639055
fgm_consistency,0.0023571854
ast_med_5,0.0023402937
ast_avg_10,0.0023388218
ast_consistency,0.002335829
ftm_med_3,0.0022961195
reb_med_3,0.0022923625
pa_combined_consistency,0.0022775321
fta_med_3,0.0022736324
ftm_streak,0.0022436604
ast_avg_5,0.0022014468
ast_streak,0.0021698659
stl_med_10,0.0021685082
ftm_med_5,0.0021333871
tov_avg_10,0.0020779967
pts_avg_3,0.0019789725
reb_avg_3,0.0019619924
stl_avg_3,0.0019059897
pts_med_5,0.001856375
fg3m_med_3,0.0018379464
blk_avg_3,0.0018230426
blk_avg_5,0.0017588878
tov_avg_3,0.0017091134
blk_med_5,0.0016983432
ast_med_3,0.0015728936
fg3m_avg_3,0.0014304889
stl_log_med_5,0.001427504
fgm_avg_3,0.0011698165
stl_log_med_3,0.0
blk_log_med_10,0.0
stl_log_med_10,0.0
