feature,importance
fg3a_med_5,0.014413856
fgm_med_5,0.012717453
fgm_med_10,0.012627571
fga_ewm,0.012587602
blk_ewm,0.0120239435
blk_med_5,0.011464413
pa_combined_med_10,0.011100299
fg3a_avg_5,0.01078697
blk_log_ewm,0.010768373
pa_combined_avg_3,0.010682067
min_med_3,0.010099541
stl_log_med_10,0.00997676
fg3a_ewm,0.009861872
pr_combined_med_10,0.009340844
pr_combined_streak,0.009304127
blk_log_streak,0.009237615
min_med_5,0.009200006
fg3a_avg_10,0.009163844
blk_log_consistency,0.009152074
stl_log_avg_10,0.009065048
fg3m_avg_5,0.008918233
ast_consistency,0.008650764
pra_combined_med_5,0.00863713
stl_med_10,0.008625907
fg3a_med_3,0.008574261
min_ewm,0.008556433
pa_combined_avg_5,0.008396569
pts_ewm,0.008339381
ftm_consistency,0.008287194
stl_log_consistency,0.008177567
pr_combined_avg_10,0.008171236
pra_combined_avg_3,0.008084975
stl_ewm,0.008024836
fg3a_avg_3,0.007998705
pts_med_5,0.0077698813
pr_combined_consistency,0.0077594672
fta_ewm,0.0076577417
pa_combined_streak,0.0076047066
blk_streak,0.00759947
tov_streak,0.007570145
fta_streak,0.0075449715
ast_ewm,0.007467606
fgm_ewm,0.007454068
ftm_streak,0.007348327
fta_consistency,0.007345443
pr_combined_med_5,0.00728244
reb_med_5,0.007280035
min_consistency,0.0071763783
fg3m_streak,0.0071653044
stl_log_streak,0.0071587977
stl_log_ewm,0.007108002
fta_med_5,0.0069893934
pts_streak,0.0069703436
pts_med_10,0.0069265487
pr_combined_med_3,0.0069258576
stl_consistency,0.0068221
fgm_consistency,0.0068217185
reb_med_10,0.00671282
reb_streak,0.0066578262
fg3a_med_10,0.0066431565
pa_combined_consistency,0.00658259
days_rest,0.0065424037
fg3m_med_10,0.0065379487
blk_med_3,0.0065112333
pra_combined_streak,0.006463653
tov_med_3,0.006378623
fta_med_10,0.0063561196
pa_combined_avg_10,0.00629608
ftm_ewm,0.00629529
tov_avg_5,0.0062815547
pr_combined_avg_3,0.006260741
ast_streak,0.0062528364
pts_avg_10,0.006121536
blk_med_10,0.0061194124
fga_avg_10,0.0060676606
fgm_streak,0.0060430705
reb_avg_10,0.0060408036
ast_med_3,0.006025991
fg3a_streak,0.0060133613
pts_avg_5,0.0059714443
blk_log_avg_5,0.005957491
reb_ewm,0.0059334044
fg3a_consistency,0.0058902744
min_streak,0.0058663185
stl_med_3,0.005792356
fga_consistency,0.0057808743
pts_consistency,0.005769744
stl_log_avg_3,0.005721891
pra_combined_avg_10,0.0057172705
pra_combined_avg_5,0.0056602503
fg3m_ewm,0.005635475
fgm_avg_3,0.005635168
tov_ewm,0.0055981274
fga_streak,0.0055731228
ast_med_10,0.005564765
pa_combined_med_5,0.0055631325
stl_log_avg_5,0.005516315
pra_combined_consistency,0.0055083577
fg3m_avg_10,0.005484479
blk_avg_10,0.00543888
blk_log_avg_10,0.0053860657
reb_avg_3,0.0053581772
tov_med_5,0.005354242
stl_streak,0.0053137643
stl_avg_10,0.005295991
fta_avg_3,0.0051913825
fg3m_avg_3,0.0051629916
reb_consistency,0.005131932
reb_med_3,0.005126118
pr_combined_avg_5,0.005088077
is_home,0.0050104884
fgm_avg_10,0.0050036213
fga_med_10,0.00498738
ftm_avg_10,0.004974644
tov_consistency,0.0049546566
fg3m_consistency,0.0049083927
pra_combined_med_10,0.004855356
fga_avg_5,0.0046627843
ftm_med_5,0.004591879
reb_avg_5,0.0045326054
tov_med_10,0.004507606
tov_avg_10,0.004484129
ast_avg_10,0.004470502
pa_combined_med_3,0.004426489
min_avg_10,0.004425536
ast_med_5,0.0043050884
pra_combined_med_3,0.0042523067
blk_avg_5,0.0042429576
fta_avg_10,0.0041560354
fga_med_3,0.004151752
fga_med_5,0.0041105123
fta_med_3,0.004082016
blk_consistency,0.004018155
blk_log_avg_3,0.0038179113
stl_med_5,0.0038051996
stl_avg_3,0.0037781894
fg3m_med_3,0.003696274
tov_avg_3,0.003686005
ftm_avg_5,0.0036146108
fgm_avg_5,0.0035572504
stl_avg_5,0.0035390812
fta_avg_5,0.0034730346
pts_med_3,0.003263383
min_avg_5,0.0032048936
stl_log_med_5,0.0031836478
ftm_med_10,0.0031660693
blk_log_med_3,0.0031632811
ftm_avg_3,0.0031589998
ast_avg_5,0.0031362434
ast_avg_3,0.0030780486
pts_avg_3,0.0029392089
fga_avg_3,0.0028974083
exp_poss,0.0028648928
blk_log_med_5,0.002816932
blk_avg_3,0.0026730457
blk_log_med_10,0.0026514344
min_avg_3,0.0025975734
fg3m_med_5,0.0025302027
fgm_med_3,0.002317881
ftm_med_3,0.0021296171
min_med_10,0.0011859162
stl_log_med_3,0.0
b2b,0.0
four_in_six,0.0
