feature,importance
min_med_3,0.024384635
reb_ewm,0.015485758
pra_combined_med_10,0.011441463
pr_combined_avg_10,0.010676929
fg3a_ewm,0.010595609
fg3m_consistency,0.010197548
pra_combined_streak,0.009952576
blk_med_10,0.009571592
ast_ewm,0.00938489
min_ewm,0.009372538
reb_avg_10,0.009339242
pr_combined_avg_5,0.009029778
pa_combined_consistency,0.008878791
fg3a_med_3,0.008822955
pra_combined_med_3,0.008707922
blk_log_ewm,0.008592421
blk_log_avg_10,0.008406728
pra_combined_avg_5,0.008394898
ast_avg_10,0.008378613
pa_combined_streak,0.008333562
fta_consistency,0.0082678115
fgm_avg_10,0.008127307
blk_med_3,0.008055386
blk_log_med_5,0.007942166
fg3a_med_5,0.007927083
pts_med_5,0.007897945
days_rest,0.0078081833
blk_consistency,0.0078040664
tov_med_5,0.0077726543
pr_combined_med_10,0.0075829616
pts_med_10,0.00754756
fgm_consistency,0.007463784
stl_med_10,0.0074108434
ftm_med_5,0.007403114
ftm_consistency,0.0073505864
pra_combined_avg_10,0.0073503866
fgm_med_10,0.0073226825
stl_log_consistency,0.007309616
ast_med_3,0.007285978
pa_combined_med_5,0.007260626
pts_ewm,0.0072096074
ftm_ewm,0.007134237
blk_log_med_3,0.0070877373
pr_combined_med_5,0.0070787133
fg3m_avg_10,0.007078658
min_streak,0.0070727584
fga_streak,0.006955109
stl_log_med_10,0.006919687
fgm_med_5,0.0068985512
fga_ewm,0.0068566343
pra_combined_avg_3,0.0068519763
fta_ewm,0.006825116
pa_combined_avg_3,0.006809528
ftm_avg_5,0.006777476
ast_med_10,0.0067593404
ast_consistency,0.006741786
pts_med_3,0.006650923
fga_avg_3,0.006641632
pa_combined_avg_5,0.0065980465
blk_ewm,0.0065955883
fg3a_med_10,0.006572335
pr_combined_consistency,0.0065637124
pr_combined_streak,0.0065355822
stl_ewm,0.0064994297
fg3a_streak,0.006485343
stl_consistency,0.0064740335
stl_log_avg_5,0.0064559085
pra_combined_med_5,0.006384376
stl_med_3,0.0063639195
reb_avg_5,0.0063477983
ftm_avg_10,0.006292621
blk_avg_10,0.0062550786
ast_streak,0.006086854
fgm_ewm,0.006064045
fgm_streak,0.0060066064
fga_avg_5,0.006004458
fta_med_5,0.006003735
tov_avg_10,0.005946607
tov_avg_3,0.0059353868
tov_med_10,0.0059313797
fg3a_avg_10,0.005912827
reb_streak,0.005860851
ast_avg_5,0.0058245915
pa_combined_med_3,0.0058078826
fg3m_med_10,0.00579867
fg3m_streak,0.00576889
fg3a_avg_3,0.0057317433
blk_log_consistency,0.0056369663
min_consistency,0.005624032
pts_avg_10,0.0056108646
blk_log_streak,0.005589689
pa_combined_avg_10,0.0055812835
blk_med_5,0.005557415
fg3a_consistency,0.0055340426
tov_streak,0.005502575
tov_consistency,0.005502151
fgm_avg_5,0.0054923133
reb_med_5,0.0054855645
blk_log_avg_5,0.005450791
fga_med_10,0.00544207
pra_combined_consistency,0.0054419385
pr_combined_med_3,0.005429516
ftm_med_10,0.005424487
fga_consistency,0.005401969
stl_log_ewm,0.005401751
pts_streak,0.0053440887
blk_log_avg_3,0.005331747
fga_avg_10,0.0053119855
reb_avg_3,0.0052480455
ftm_streak,0.0052119894
ast_med_5,0.005208107
pts_consistency,0.0051705493
reb_consistency,0.0051491363
stl_log_streak,0.0050863335
fta_med_3,0.005048571
fg3a_avg_5,0.005046866
fta_avg_3,0.005038281
blk_streak,0.00502894
stl_streak,0.0049969195
pr_combined_avg_3,0.004995043
fta_streak,0.0049860855
stl_log_avg_3,0.004918134
tov_med_3,0.004856701
fta_avg_10,0.0047671753
fga_med_5,0.004762723
stl_avg_10,0.0047369567
min_avg_3,0.004718816
fg3m_med_3,0.004708767
tov_ewm,0.0046930104
reb_med_3,0.004652198
stl_log_avg_10,0.004647501
ftm_med_3,0.00463286
min_med_5,0.0046309847
fg3m_ewm,0.004606902
ast_avg_3,0.004531294
pts_avg_5,0.0045233774
pa_combined_med_10,0.0044928147
fg3m_avg_3,0.004480591
min_avg_5,0.0044751186
reb_med_10,0.00432591
min_avg_10,0.004301208
exp_poss,0.0041631702
blk_avg_3,0.0040438087
fgm_med_3,0.0037542451
blk_avg_5,0.0037411484
fg3m_avg_5,0.0036072212
fta_avg_5,0.003562711
tov_avg_5,0.0034849118
is_home,0.0034346904
stl_med_5,0.0033093127
fta_med_10,0.0032806785
fg3m_med_5,0.002962731
stl_avg_3,0.0028844625
ftm_avg_3,0.0027252634
fgm_avg_3,0.0027139785
pts_avg_3,0.0027099224
stl_log_med_3,0.0026697412
stl_avg_5,0.002610076
min_med_10,0.0022551017
blk_log_med_10,0.0020686048
fga_med_3,0.0016580049
stl_log_med_5,0.00028825196
b2b,0.0
four_in_six,0.0
