feature,importance
min_avg_10,0.032199156
stl_ewm,0.0262951
exp_poss,0.026093908
min_avg_5,0.020171687
pa_combined_avg_5,0.019075116
min_med_5,0.017501177
stl_log_ewm,0.017080653
min_avg_3,0.015867135
min_med_3,0.011041737
stl_med_10,0.010239448
min_med_10,0.00908421
fgm_ewm,0.0089318445
stl_log_avg_10,0.008562696
fg3a_ewm,0.007722365
pts_med_5,0.0074126027
pra_combined_med_5,0.0073913652
pa_combined_med_10,0.007333215
min_ewm,0.0072681066
stl_log_avg_5,0.0072549745
stl_log_med_10,0.007135568
fgm_med_5,0.007070761
tov_med_10,0.0070421156
pra_combined_med_10,0.0070208837
stl_avg_10,0.00694663
fta_avg_10,0.00693777
pa_combined_consistency,0.006860753
ftm_med_3,0.006677681
pa_combined_streak,0.0066489116
pa_combined_avg_3,0.006605089
pr_combined_avg_5,0.0066036955
fga_ewm,0.0065142848
fgm_med_3,0.0065050377
ftm_med_5,0.006490171
blk_log_avg_10,0.00644463
ftm_streak,0.0064417836
fgm_streak,0.0064236647
fga_avg_5,0.0063465107
tov_ewm,0.0061442005
ast_avg_10,0.0061279745
pr_combined_med_10,0.0060896324
fta_ewm,0.0060832445
tov_streak,0.0060740793
fta_avg_5,0.006072361
fg3m_consistency,0.006070591
pa_combined_avg_10,0.006048984
pra_combined_consistency,0.0060254685
ast_ewm,0.005997394
reb_ewm,0.00599036
fta_consistency,0.0059627485
blk_log_consistency,0.005833543
stl_med_3,0.0058155693
fg3a_streak,0.005773061
reb_med_5,0.0057693366
pra_combined_avg_5,0.005733551
ast_streak,0.0057318425
fg3a_consistency,0.0057289614
ftm_ewm,0.0057115476
min_streak,0.0056980923
reb_med_3,0.0056606797
pts_med_3,0.0056406218
blk_log_ewm,0.0056353924
stl_log_consistency,0.0056169746
ftm_consistency,0.005609973
ast_med_10,0.00555811
tov_consistency,0.0055571604
fg3a_med_5,0.0055488716
stl_avg_5,0.005520127
reb_med_10,0.0055196886
blk_log_streak,0.0055110203
pr_combined_med_3,0.0055016694
pts_ewm,0.0054989615
fg3m_ewm,0.005483414
pa_combined_med_5,0.0054292656
four_in_six,0.00542613
pra_combined_streak,0.0054217963
fg3a_avg_5,0.0053776344
fg3a_avg_3,0.005373058
fg3a_med_10,0.005345676
fg3m_streak,0.0053346357
blk_ewm,0.005326359
blk_streak,0.005316029
tov_med_5,0.0053159446
ast_consistency,0.005296905
ast_avg_5,0.0052937963
reb_streak,0.0052542547
pr_combined_consistency,0.005252817
blk_med_5,0.005242528
fgm_med_10,0.0052420655
pts_med_10,0.0052407775
fg3a_med_3,0.005237759
pts_consistency,0.0052192584
pts_avg_5,0.005217012
fga_avg_10,0.0051956023
fta_avg_3,0.005180035
pr_combined_avg_10,0.005175492
ftm_avg_10,0.005162086
ast_med_3,0.0050938246
pts_avg_10,0.0050916118
fga_avg_3,0.0050750775
stl_log_med_5,0.0050729373
fga_consistency,0.005070301
min_consistency,0.0050661503
ftm_avg_5,0.00503924
ftm_med_10,0.005037347
fg3a_avg_10,0.005015664
blk_log_avg_3,0.0050144545
fga_med_5,0.005009564
fgm_consistency,0.0050042667
reb_consistency,0.004969298
pra_combined_med_3,0.0049489634
blk_log_avg_5,0.0049423384
tov_avg_10,0.0048657022
tov_med_3,0.0048619118
fta_med_5,0.0048422744
fg3m_avg_10,0.0048316005
fga_med_10,0.004828443
ast_avg_3,0.004804608
stl_streak,0.004780379
pr_combined_avg_3,0.004763881
days_rest,0.004761932
pa_combined_med_3,0.004732388
pr_combined_streak,0.0047053783
stl_log_streak,0.0046724738
pts_avg_3,0.0046163984
blk_avg_5,0.0045753405
blk_med_10,0.0045522903
fgm_avg_10,0.0045488467
pts_streak,0.0044620386
tov_avg_5,0.004444383
reb_avg_3,0.004428557
ftm_avg_3,0.0044176257
fta_med_10,0.0043865866
fga_med_3,0.0043698163
fga_streak,0.004358946
fgm_avg_5,0.004354605
fg3m_avg_3,0.004326773
pr_combined_med_5,0.004305806
fg3m_med_5,0.0042021633
stl_consistency,0.0041831494
reb_avg_10,0.004153617
reb_avg_5,0.0041421177
fgm_avg_3,0.0041000294
stl_log_avg_3,0.0040568183
stl_med_5,0.004047289
pra_combined_avg_3,0.004047151
blk_avg_10,0.003976318
fta_streak,0.003952292
fg3m_avg_5,0.003923166
blk_consistency,0.0038830047
ast_med_5,0.0038455133
blk_med_3,0.0038251493
stl_avg_3,0.003735803
pra_combined_avg_10,0.0036668535
fg3m_med_3,0.0035267754
tov_avg_3,0.003490953
is_home,0.0033941893
blk_log_med_5,0.003378189
fta_med_3,0.0033257885
blk_avg_3,0.002999363
stl_log_med_3,0.0029732843
fg3m_med_10,0.0016563575
blk_log_med_10,0.0
blk_log_med_3,0.0
b2b,0.0
