feature,importance
pa_combined_avg_10,0.16443147
pa_combined_med_10,0.053486075
tov_avg_10,0.027657995
tov_med_10,0.023041757
pa_combined_med_3,0.019155636
tov_ewm,0.016863482
pra_combined_med_10,0.014959866
pa_combined_avg_3,0.012467134
pra_combined_med_3,0.01187705
pra_combined_avg_10,0.008814595
pts_med_10,0.007807463
stl_log_med_5,0.0074067423
tov_avg_5,0.0073035485
ast_avg_3,0.0071926564
pra_combined_avg_3,0.0071436553
reb_med_10,0.0070436667
fga_med_5,0.006718283
ast_med_10,0.0067181326
ast_ewm,0.0066614337
fg3m_med_10,0.0064526345
ast_avg_10,0.00640841
ast_avg_5,0.006343439
fgm_med_10,0.0063065775
fga_ewm,0.0061429054
pra_combined_avg_5,0.006040063
fg3a_med_5,0.0060395864
pr_combined_consistency,0.005978478
stl_log_ewm,0.0059436276
pa_combined_avg_5,0.0059319255
fga_avg_10,0.005919731
pts_avg_5,0.005803335
fta_med_5,0.0057029314
fgm_avg_3,0.005402872
ast_med_3,0.005368838
fta_ewm,0.0051733623
pr_combined_avg_10,0.0050551463
fgm_consistency,0.0049584215
stl_log_med_3,0.0049441494
fta_med_10,0.00489191
fta_avg_5,0.004867614
pts_med_5,0.0048598135
fgm_streak,0.0048348177
fta_avg_10,0.004829201
stl_log_med_10,0.004784067
fg3a_consistency,0.004768212
fgm_ewm,0.004759261
ast_med_5,0.004734899
min_consistency,0.004730044
reb_ewm,0.0047289636
pts_ewm,0.0047284896
pra_combined_streak,0.0047086035
reb_avg_5,0.0046848725
min_streak,0.0046784026
fg3m_consistency,0.0046659536
pr_combined_avg_3,0.004665194
ftm_med_10,0.004645207
fta_med_3,0.004589135
reb_avg_10,0.004583461
pr_combined_streak,0.0045813066
blk_log_consistency,0.004578423
fga_consistency,0.0045635905
ftm_avg_3,0.0045369607
pa_combined_streak,0.0045281025
tov_consistency,0.0045226477
pts_consistency,0.004519959
fga_avg_3,0.0044970703
stl_consistency,0.0044718944
blk_ewm,0.0044604377
pa_combined_med_5,0.004449056
reb_consistency,0.0044296146
fg3m_ewm,0.0044177356
blk_log_ewm,0.004412222
pr_combined_med_5,0.004408475
fg3m_streak,0.0043962128
fta_streak,0.004392863
pr_combined_med_10,0.0043166457
reb_med_3,0.004305062
stl_streak,0.004294406
stl_log_consistency,0.004278712
pr_combined_med_3,0.004278379
min_avg_5,0.004259167
min_avg_3,0.0042541246
blk_med_10,0.00423745
min_med_10,0.0042028823
ftm_ewm,0.004183667
min_med_5,0.004176941
fg3m_med_3,0.0041727116
stl_log_streak,0.0041506435
tov_streak,0.004125214
ftm_avg_5,0.0041247397
reb_streak,0.004108278
ftm_consistency,0.0041040527
fgm_avg_10,0.0040787174
fga_streak,0.0040758057
pts_streak,0.0040432354
stl_log_avg_5,0.0040220446
fg3a_streak,0.004013584
min_ewm,0.004006907
pr_combined_avg_5,0.004003257
fg3m_avg_3,0.0039986614
fg3m_avg_10,0.0039973455
blk_log_streak,0.003990098
pa_combined_consistency,0.0039258064
ast_consistency,0.0039030309
pra_combined_consistency,0.003894471
blk_log_avg_5,0.0038917756
fg3a_avg_10,0.0038827604
stl_ewm,0.0038821523
fg3a_ewm,0.00383866
fta_avg_3,0.0038350853
fta_consistency,0.003815358
blk_consistency,0.0037937858
stl_avg_3,0.0037902254
blk_log_avg_10,0.0037367009
pra_combined_med_5,0.0037323066
fgm_med_5,0.003727158
ast_streak,0.003726997
stl_log_avg_10,0.0037077037
tov_med_5,0.0037037132
blk_avg_10,0.0036941695
fg3m_avg_5,0.0036923664
ftm_avg_10,0.0036207275
days_rest,0.0036163374
exp_poss,0.003563211
fgm_avg_5,0.003554222
fg3a_avg_5,0.0035415841
ftm_streak,0.0035358304
pts_avg_10,0.0035236476
blk_streak,0.0034802863
fg3a_avg_3,0.0034771003
min_avg_10,0.0034640206
blk_med_3,0.0034327954
reb_med_5,0.0033511985
tov_med_3,0.0033509326
ftm_med_5,0.0033421135
ftm_med_3,0.0033258544
b2b,0.0032474196
blk_log_med_3,0.003236704
min_med_3,0.0031688353
stl_log_avg_3,0.0031595747
fg3a_med_10,0.0031516321
fga_avg_5,0.0031460626
blk_med_5,0.0031113075
fg3a_med_3,0.0030910606
fga_med_10,0.0030837054
stl_med_10,0.0029807913
tov_avg_3,0.002874113
blk_log_avg_3,0.0027261407
reb_avg_3,0.0027187369
stl_avg_5,0.0026937574
blk_avg_3,0.0025057525
stl_med_5,0.0024705795
fga_med_3,0.0024399448
fgm_med_3,0.002430728
pts_med_3,0.0024019426
blk_avg_5,0.0022785913
stl_avg_10,0.0021463623
is_home,0.0019201497
stl_med_3,0.0018277697
fg3m_med_5,0.0018108005
pts_avg_3,0.0016489562
blk_log_med_10,0.0
blk_log_med_5,0.0
four_in_six,0.0
