feature,importance
is_home,0.5874702
elo_diff,0.084822044
elo_win_prob,0.07371558
elo_pre_ewm,0.01928433
elo_total,0.017432056
elo_pre_avg_10,0.01735535
elo_pre_avg_20,0.016172659
goals_against_ewm,0.016144043
elo_diff_avg_5,0.015749052
elo_pre_avg_5,0.015219859
elo_diff_avg_20,0.015218577
goals_for_avg_20,0.0151663665
elo_diff_ewm,0.014436221
goals_against_avg_20,0.013974261
goals_for_avg_10,0.0139530925
goals_for_ewm,0.013582783
goals_against_avg_5,0.013485778
goals_against_avg_10,0.012771162
elo_diff_avg_10,0.012679521
goals_for_avg_5,0.011367128
