feature,importance
is_home,0.5706049
elo_diff,0.0868631
elo_win_prob,0.07361759
elo_pre_avg_10,0.01863264
elo_pre_avg_20,0.018045984
elo_pre_ewm,0.017064808
goals_against_avg_20,0.016933568
goals_against_ewm,0.016890207
elo_diff_ewm,0.016815076
elo_pre_avg_5,0.016328221
goals_for_ewm,0.016277114
elo_total,0.015991475
elo_diff_avg_20,0.015602458
goals_for_avg_5,0.015175298
goals_against_avg_10,0.015049278
elo_diff_avg_10,0.014658021
goals_for_avg_20,0.014361319
elo_diff_avg_5,0.014151212
goals_against_avg_5,0.013555784
goals_for_avg_10,0.01338193
