feature,importance
elo_diff,0.15907668
elo_win_prob,0.08497836
goals_against_ewm,0.047877435
elo_pre_avg_10,0.04779602
elo_diff_avg_20,0.04685467
elo_pre_ewm,0.046800382
elo_total,0.046599
elo_diff_ewm,0.046204217
goals_for_ewm,0.04616841
elo_pre_avg_20,0.045466904
goals_for_avg_20,0.045434643
goals_for_avg_10,0.044737972
goals_against_avg_20,0.044291865
elo_diff_avg_10,0.043738924
elo_diff_avg_5,0.042832278
goals_against_avg_10,0.041974768
elo_pre_avg_5,0.041627947
goals_for_avg_5,0.039358936
goals_against_avg_5,0.038180605
