feature,importance
is_home,0.094851695
elo_diff,0.09023852
elo_win_prob,0.078841925
elo_total,0.056334823
elo_pre_ewm,0.052800618
elo_pre_avg_20,0.05036684
goals_for_ewm,0.048395358
elo_diff_ewm,0.04671483
goals_against_avg_20,0.04547801
elo_pre_avg_10,0.044433914
elo_diff_avg_5,0.042704154
elo_diff_avg_20,0.042596757
goals_against_ewm,0.042399365
elo_pre_avg_5,0.042131424
goals_for_avg_10,0.040003415
elo_diff_avg_10,0.038305886
goals_for_avg_20,0.038177717
goals_for_avg_5,0.035925113
goals_against_avg_5,0.034760866
goals_against_avg_10,0.034538742
